,Posisi,Nama Perusahaan,Lokasi Magang,Kuota,Tunjangan,Program Studi,Hari Libur,URL
10627,Asisten Perantara Hubungan Masyarakat,Direktorat Bina Penempatan Tenaga Kerja Khusus,Kota Adm. Jakarta Selatan,1 kuota,,"Informatika, Ilmu Komputer, Hubungan Masyarakat, Ilmu Komunikasi, Desain Komunikasi Visual","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-perantara-hubungan-masyarakat-a2439663-cefe-4ef8-9220-767d791228f2
10647,Asisten Statistisi,Direktorat Bina Penempatan Tenaga Kerja,Kota Adm. Jakarta Selatan,2 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem informasi, Statistika, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-statistisi-a2435e5f-1ed5-420b-9815-cb8887ed2150
10680,Perancang Proses Bisnis dan Layanan Publik,Direktorat Bina Pemeriksaan Norma Ketenagakerjaan,Kota Adm. Jakarta Selatan,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/perancang-proses-bisnis-dan-layanan-publik-a243825d-e159-4c36-8579-be7f602e11b7
10683,Pengelola Layanan Publik,Direktorat Bina Pemeriksaan Norma Ketenagakerjaan,Kota Adm. Jakarta Selatan,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengelola-layanan-publik-a24382e4-f82a-43f0-a394-942b6f7abd96
10699,Pengolah Data dan Pembuatan Sistem Informasi,Direktorat Bina Lemlatvok,Kota Adm. Jakarta Selatan,3 kuota,,"Teknik Informatika, Informatika, Ilmu Komputer, sistem informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengolah-data-dan-pembuatan-sistem-informasi-a24345af-b155-4d69-b134-f915370ce78a
10700,Pengembang Sistem Informasi,Direktorat Bina Lemlatvok,Kota Adm. Jakarta Selatan,1 kuota,,"Informatika, Ilmu Komputer, Teknik informatika, sistem informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengembang-sistem-informasi-a243410c-e9c6-45db-98df-3fdc62b9fc85
10709,Pengelola Teknologi Informasi,SMK - SMTI Yogyakarta,Kab. Kendal,1 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengelola-teknologi-informasi-a242f363-31ac-4a90-9f4c-c14993230fbf
10751,Statistisi Data Pelatihan Vokasi,Direktorat Bina Lavogan,Kota Adm. Jakarta Selatan,1 kuota,,"Sains Data, Ilmu Komputer, Sistem Informasi, Statistika, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/statistisi-data-pelatihan-vokasi-a242ff85-c425-4546-986b-8ff8873eba0a
10755,Statistisi Data Pelatihan Vokasi,Direktorat Bina Lavogan,Kota Adm. Jakarta Selatan,1 kuota,,"Sains Data, Ilmu Komputer, Sistem Informasi, Statistika, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/statistisi-data-pelatihan-vokasi-a242e60b-1d78-4090-a290-9f22bf934b74
10756,Statistisi Data Pemagangan Luar Negeri,Direktorat Bina Lavogan,Kota Adm. Jakarta Selatan,1 kuota,,"Sains Data, Ilmu Komputer, Sistem Informasi, Statistika, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/statistisi-data-pemagangan-luar-negeri-a242e4af-9d42-49b3-a3ff-9f79107bd67c
10821,Software Engineer,Badan Pengelola Migas Aceh,Kota Banda Aceh,1 kuota,,"Teknik Informatika, Ilmu Komputer, Statistika dan Sains Data, Teknik Elektro, Sistem informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/software-engineer-a2440c8c-1e41-42f2-b620-5663bf5bad82
10838,Pengelola Data,Direktorat Bina Intala,Kota Adm. Jakarta Selatan,1 kuota,,"Teknik Informatika, Ilmu Komputer, Teknik Informatika Multimedia, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengelola-data-a243b1f9-a2a7-4cb6-9fe2-e0e8bed4c61a
10841,Data Engineer / Database Administrator,Direktorat Bina Intala,Kota Adm. Jakarta Selatan,1 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/data-engineer--database-administrator-a243af13-006f-4433-98c9-b4cd2121e97c
10973,Programer/ Aplication Developer dan konten kreator (substansi pemeriksaan dan Pokja Pengawasan),Balai POM di Batam,Kota Batam,1 kuota,,"Teknologi Informasi, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem Informasi, Teknik Komputer Dan Jaringan","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/programer-aplication-developer-dan-konten-kreator-substansi-pemeriksaan-dan-pokja-pengawasan-a2441bc3-ae6d-4193-bad9-68e5eab73cbc
11005,Teknisi Sistem WLC (AVA),Deputi Bidang Sumber Daya dan Kelembagaan,Kota Adm. Jakarta Selatan,1 kuota,,"Teknik Informatika, Teknologi Rekayasa Perangkat Lunak, Ilmu Komputer, Teknologi Pendidikan, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/teknisi-sistem-wlc-ava-a23b7b1a-4bea-4a4a-b893-354323ea00ac
11010,Analis Data Pendidikan (AVA),Deputi Bidang Sumber Daya dan Kelembagaan,Kota Adm. Jakarta Selatan,1 kuota,,"Teknik Informatika, Teknologi rekayasa Perangkat Lunak, Ilmu Komputer, Statistika, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/analis-data-pendidikan-ava-a23b7f03-5ba1-4df0-b096-d8bdb2dd6f3a
11011,Backend Engineer Intern (AKSI),Deputi Bidang Sumber Daya dan Kelembagaan,Kota Adm. Jakarta Pusat,1 kuota,,"Teknik Informatika, Rekayasa Sistem Komputer, Ilmu Komputer, Teknologi Rekayasa Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/backend-engineer-intern-aksi-a23b6487-725c-40fb-ad26-59df4bd942e9
11012,LMS Support Intern (AKSI),Deputi Bidang Sumber Daya dan Kelembagaan,Kota Adm. Jakarta Pusat,1 kuota,,"Teknik Informatika, Ilmu Komputer, Teknologi Rekayasa Komputer, Sistem Informasi, Teknologi Rekayasa Komputer Jaringan","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/lms-support-intern-aksi-a23b657f-a502-47bb-bdea-cb23eaae181f
11020,Analis Tracer Study (AVA),Deputi Bidang Sumber Daya dan Kelembagaan,Kota Adm. Jakarta Selatan,1 kuota,,"Ilmu Komputer, Ekonomi, sistem informasi, Statistika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/analis-tracer-study-ava-a23b7898-f319-49be-afe9-c408446bc407
11069,Asisten Pengembang Sistem dan Aplikasi Digital (Programmer),Kantor Regional VI BKN Medan,Kota Adm. Jakarta Timur,14 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pengembang-sistem-dan-aplikasi-digital-programmer-a2434e64-f715-4e7a-8e86-dd0f2f942218
11075,Asisten Infrastuktur Teknologi Informasi,Kantor Regional VI BKN Medan,Kota Adm. Jakarta Timur,2 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-infrastuktur-teknologi-informasi-a2436704-2598-4289-9c47-df68e207149d
11080,Asisten Pengembang Sistem dan Aplikasi Digital (Programmer),Kantor Regional VI BKN Medan,Kota Adm. Jakarta Timur,14 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pengembang-sistem-dan-aplikasi-digital-programmer-a2434e64-f715-4e7a-8e86-dd0f2f942218
11082,Asisten Pengelolaan Data dan Informasi ASN,Kantor Regional VI BKN Medan,Kota Adm. Jakarta Timur,3 kuota,,"Ilmu Komputer, Sistem Informasi, Statistika, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-pengelolaan-data-dan-informasi-asn-a24151d3-55cb-4bb5-94c4-c7257b60f4bd
11175,Asisten Deputi Peningkatan Kapasitas SDM dan Talenta - Analis Data Pelatihan Koperasi,Deputi Bidang Pengembangan Talenta dan Daya Saing Koperasi,Kota Adm. Jakarta Selatan,2 kuota,,"Ilmu Komputer, Statistika, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-deputi-peningkatan-kapasitas-sdm-dan-talenta---analis-data-pelatihan-koperasi-a23edb6b-6feb-433b-87f5-3f4ae4896ade
11181,Asisten Deputi Peningkatan Kapasitas SDM dan Talenta - Analis Data Pelatihan Koperasi,Deputi Bidang Pengembangan Talenta dan Daya Saing Koperasi,Kota Adm. Jakarta Selatan,2 kuota,,"Ilmu Komputer, Statistika, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-deputi-peningkatan-kapasitas-sdm-dan-talenta---analis-data-pelatihan-koperasi-a23edb6b-6feb-433b-87f5-3f4ae4896ade
11182,Asisten Deputi Peningkatan Kapasitas SDM dan Talenta - Pengelola Data dan Informasi,Deputi Bidang Pengembangan Talenta dan Daya Saing Koperasi,Kota Adm. Jakarta Selatan,2 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem Informasi","Minggu, Sabtu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-deputi-peningkatan-kapasitas-sdm-dan-talenta---pengelola-data-dan-informasi-a23edd39-79ed-4049-b749-2e215db65359
11183,Asisten Deputi Literasi dan Penyuluhan - Pengelolah Data dan Informasi,Deputi Bidang Pengembangan Talenta dan Daya Saing Koperasi,Kota Adm. Jakarta Selatan,1 kuota,,"Teknik Informatika, Sains Data, Ilmu Komputer, Sistem Informasi, Statistika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-deputi-literasi-dan-penyuluhan---pengelolah-data-dan-informasi-a23eda29-5aaa-444a-b872-a5e1fa3349e4
11184,Sekretaris Deputi - Pengelola Teknologi Informasi,Deputi Bidang Pengembangan Talenta dan Daya Saing Koperasi,Kota Adm. Jakarta Selatan,2 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/sekretaris-deputi----pengelola-teknologi-informasi-a23d8149-efa5-448e-926c-af71309559d6
11205,PRANATA KOMPUTER,Kantor Wilayah Kementerian Hukum Sumatera Utara,Kota Medan,4 kuota,,"Teknologi Informasi, Ilmu Komputer, Ilmu Informatika, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pranata-komputer-a2415ce1-8346-4e5a-a796-c6856b5b7ca0
11243,Pranata Komputer,Kantor Wilayah Kementerian Hukum Sumatera Selatan,Kota Palembang,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pranata-komputer-a2419485-b6f0-4e49-8ae2-5c22b19fd944
11281,Penata Kelola Pemerintahan,Kantor Wilayah Kementerian Hukum Sulawesi Tenggara,Kota Kendari,2 kuota,,"Ilmu Komputer, Manajemen, Ilmu Pemerintahan, Hukum, Administrasi Negara","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/penata-kelola-pemerintahan-a2410c6b-ce28-46b2-96de-dfb943a58669
11291,Pranata komputer,Kantor Wilayah Kementerian Hukum Sulawesi Tenggara,Kota Kendari,2 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pranata-komputer-a2410a0d-5c13-4fe8-a801-0ebf8478ed2c
11323,Manggala Informatika,ANRI,Kota Adm. Jakarta Selatan,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi, Rekayasa Keamanan Siber","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/manggala-informatika-a242fb38-d22a-4487-8fdf-4589158a5b78
11328,Pranata Komputer,ANRI,Kota Adm. Jakarta Selatan,14 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pranata-komputer-a242d98f-66fd-4a12-bb7d-b8735a2b01af
11344,Pranata Komputer,Kantor Wilayah Kementerian Hukum Sulawesi Tengah,Kota Palu,2 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Ilmu Informatika, Teknik Komputer","Minggu, Sabtu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pranata-komputer-a23ed20b-7077-4f5d-a275-c41ecd73e383
11402,Analis Kekayaan Intelektual,Kantor Wilayah Kementerian Hukum Riau,Kota Pekanbaru,2 kuota,,"Ilmu Komputer, Ekonomi, Kimia, Biologi, Hukum","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/analis-kekayaan-intelektual-a240d67a-e704-4084-8b60-f83a4589a3ae
11403,Pranata Komputer,Kantor Wilayah Kementerian Hukum Riau,Kota Pekanbaru,2 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi, Ilmu Informatika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pranata-komputer-a23f54cd-e48b-45ab-83e4-b1d0c721b718
11407,Pengendali Konten Internet,Kantor Wilayah Kementerian Hukum Riau,Kota Pekanbaru,2 kuota,,"Teknologi Informasi, Ilmu Komputer, Sistem Informasi, Ilmu Komunikasi, Desain Komunikasi Visual","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengendali-konten-internet-a23f5700-8fc5-4362-9524-8531b7092ec5
11411,Pranata Komputer,Kantor Wilayah Kementerian Hukum Riau,Kota Pekanbaru,1 kuota,,"Teknologi Informasi, Ilmu Komputer, Sistem Informasi, Teknik informatika, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pranata-komputer-a240cc3f-284c-4ad2-bbb7-697246554604
11431,Pranata Komputer,Kantor Wilayah Kementerian Hukum Papua,Kota Jayapura,1 kuota,,"Teknik Informatika, Ilmu Komputer, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pranata-komputer-a2430416-5d7b-445e-87a6-8368823fbb2b
11442,PRANATA KOMPUTER,Kantor Wilayah Kementerian Hukum Papua Barat,Kab. Manokwari,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Ilmu Informatika, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pranata-komputer-a2413983-e3c5-46dd-9c08-95b9312476e4
11453,Pengelola Kehumasan,LEMBAGA PEMASYARAKATAN KELAS IIB KLATEN,Kab. Klaten,4 kuota,,"Ilmu Komputer, Jurnalistik, Ilmu Komunikasi",Minggu,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengelola-kehumasan-a24132f0-0e78-4c59-bbf1-c2c5515fec5a
11492,Asdep Pelindungan Anggota - Manajemen Basis Data (IT),Deputi Bidang Pengawasan Koperasi,Kota Adm. Jakarta Selatan,1 kuota,,Ilmu Komputer,"Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asdep-pelindungan-anggota---manajemen-basis-data-it-a23d41f5-6f34-4d30-8eb1-6487603b57fa
11499,Pranata Komputer,Kantor Wilayah Kementerian Hukum Nusa Tenggara Timur,Kota Kupang,2 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pranata-komputer-a2420461-a9f2-4fdb-9b8a-c3ec60e6b3d0
11555,Pranata Komputer,Kantor Wilayah Kementerian Hukum Nusa Tenggara Barat,Kota Mataram,2 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Ilmu Informatika, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pranata-komputer-a240f02f-db4b-4d0b-ae66-2c3320b67914
11556,Pranata Komputer,Kantor Wilayah Kementerian Hukum Nusa Tenggara Barat,Kota Mataram,2 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Ilmu Informatika, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pranata-komputer-a240f02f-db4b-4d0b-ae66-2c3320b67914
11567,PRANATA KOMPUTER,Kantor Wilayah Kementerian Hukum Maluku,Kota Ambon,2 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pranata-komputer-a240f1a5-8077-424e-a50b-d13b042b3bea
11575,DPRI – Asisten Pemanfaatan Digital & TIK,Deputi Bidang Pemanfaatan Riset dan Inovasi,Kota Adm. Jakarta Pusat,1 kuota,,"Informatika, Sains Data, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/dpri-–-asisten-pemanfaatan-digital-&-tik-a243f9a1-c7a3-489d-bf30-bbc8ee75f56f
11595,Pengolah data dan Informasi,Kantor Wilayah Kementerian Hukum Lampung,Kota Bandar Lampung,4 kuota,,"Informatika, Ilmu Komputer, Sistem Informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengolah-data-dan-informasi-a2415b90-c003-4307-bd86-0b2836a1f8a7
11618,Penata Kelola Sistem Teknologi Informasi,Kantor Wilayah Kementerian Hukum Kepulauan Riau,Kota Tanjung Pinang,3 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/penata-kelola-sistem-teknologi-informasi-a2410117-9eab-4dd2-9b98-25efdccdcdb0
11623,Pranata Komputer,Kantor Wilayah Kementerian Hukum Kepulauan Riau,Kota Tanjung Pinang,3 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem informasi, Ilmu Informatika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pranata-komputer-a240e96d-b000-42b1-a559-ff2dc34ed74a
11652,PENGELOLA KEHUMASAN,LEMBAGA PEMASYARAKATAN TERBUKA KELAS IIB WAIKABUBAK,Kab. Sumba Tengah,1 kuota,,"Teknik Informatika, Ilmu Komputer, Pendidikan Ilmu Komputer, Ilmu Komunikasi, Teknik Komputer",Minggu,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengelola-kehumasan-a2410e96-da05-4416-9315-72629c845d13
11653,PENGELOLA SDM,LEMBAGA PEMASYARAKATAN TERBUKA KELAS IIB WAIKABUBAK,Kab. Sumba Tengah,4 kuota,,"Ilmu Komputer, Manajemen, Ilmu Hukum, Akuntansi, Administrasi Negara",Minggu,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengelola-sdm-a240fdd5-0fd6-45a7-b189-48c9b8cba29e
11666,PENGELOLA KEHUMASAN,LEMBAGA PEMASYARAKATAN TERBUKA KELAS IIB WAIKABUBAK,Kab. Sumba Tengah,1 kuota,,"Teknik Informatika, Ilmu Komputer, Pendidikan Ilmu Komputer, Ilmu Komunikasi, Teknik Komputer",Minggu,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengelola-kehumasan-a2410e96-da05-4416-9315-72629c845d13
11667,PENGELOLA SDM,LEMBAGA PEMASYARAKATAN TERBUKA KELAS IIB WAIKABUBAK,Kab. Sumba Tengah,4 kuota,,"Ilmu Komputer, Manajemen, Ilmu Hukum, Akuntansi, Administrasi Negara",Minggu,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengelola-sdm-a240fdd5-0fd6-45a7-b189-48c9b8cba29e
11693,Direktorat Teknologi Digital Baru,Deputi Bidang Kreativitas Digital dan Teknologi,Kota Adm. Jakarta Selatan,5 kuota,,"Teknologi Informasi, Ilmu Komputer, Bisnis Kreatif, Administrasi Publik, Sistem Informasi","Minggu, Sabtu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/direktorat-teknologi-digital-baru-a2438afe-63e0-4c53-9ba7-cbc37af761b5
11697,Direktorat Aplikasi,Deputi Bidang Kreativitas Digital dan Teknologi,Kota Adm. Jakarta Selatan,5 kuota,,"Informatika, Ilmu Komputer, Bisnis Kreatif, Sistem Informasi, Ilmu Komunikasi","Minggu, Sabtu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/direktorat-aplikasi-a24381fc-2d3e-415b-b26b-61209f9cfab6
11698,Direktorat Jasa Teknologi Informasi dan Komunikasi,Deputi Bidang Kreativitas Digital dan Teknologi,Kota Adm. Jakarta Selatan,5 kuota,,"Ilmu Komputer, Manajemen, Bisnis Kreatif, Administrasi Publik, Sistem Informasi","Minggu, Sabtu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/direktorat-jasa-teknologi-informasi-dan-komunikasi-a2438905-602f-4036-bb05-9a7f61781b7b
11717,Analis Kekayaan Intelektual,Kantor Wilayah Kementerian Hukum Kalimantan Barat,Kota Pontianak,5 kuota,,"Ilmu Komputer, Ilmu Ekonomi, Manajemen Ekonomi, Statistika, Hukum","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/analis-kekayaan-intelektual-a2417b15-93d0-44a1-84f2-97f95b701ede
11719,Analis Kekayaan Intelektual,Kantor Wilayah Kementerian Hukum Kalimantan Barat,Kota Pontianak,5 kuota,,"Ilmu Komputer, Ilmu Ekonomi, Manajemen Ekonomi, Statistika, Hukum","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/analis-kekayaan-intelektual-a2417b15-93d0-44a1-84f2-97f95b701ede
11724,Pranata Komputer,Kantor Wilayah Kementerian Hukum Kalimantan Barat,Kota Pontianak,2 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem informasi, Ilmu Informatika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pranata-komputer-a24176bf-7162-43fd-87fb-ab405d1887fc
11746,Pranata Komputer,Kantor Wilayah Kementerian Hukum Jawa Timur,Kota Surabaya,2 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pranata-komputer-a2416ce9-937c-4bc2-b1fe-833d797566b4
11748,Analis Kekayaan Intelektual,Kantor Wilayah Kementerian Hukum Jawa Timur,Kota Surabaya,4 kuota,,"Ilmu Komputer, Ekonomi, Desain Komunikasi Visual, Desain Produk, Hukum","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/analis-kekayaan-intelektual-a2416e0d-c8bb-4001-a1e5-f66b9f96e6bd
11751,Penata Kelola Sistem dan Teknologi Informasi,Kantor Wilayah Kementerian Hukum Jawa Tengah,Kota Semarang,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/penata-kelola-sistem-dan-teknologi-informasi-a23efb3b-13bf-4616-aa5b-0864f6848c0b
11759,Analis Kekayaan Intelektual,Kantor Wilayah Kementerian Hukum Jawa Tengah,Kota Semarang,4 kuota,,"Ilmu Komputer, Ekonomi, Kimia, Biologi, Hukum","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/analis-kekayaan-intelektual-a23ef266-9060-43f4-a8fc-daaa2d645aa2
11779,ANALIS KEKAYAAN INTELEKTUAL,Kantor Wilayah Kementerian Hukum Jawa Barat,Kota Bandung,2 kuota,,"Ilmu Komputer, Manajemen, Ekonomi, Ilmu Informatika, Hukum","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/analis-kekayaan-intelektual-a23f49a2-68f4-4291-a996-e47b8a297d85
11838,Penata Kelola Sistem dan Teknologi Informasi,Kantor Wilayah Kementerian Hukum Gorontalo,Kab. Bone Bolango,2 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Ilmu Komunikasi, Sistem informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/penata-kelola-sistem-dan-teknologi-informasi-a23f8d4b-2aa5-4c2e-862c-de8ada534542
11858,Analis SDM Aparatur,Kantor Wilayah Kementerian Hukum Daerah Khusus Jakarta,Kota Adm. Jakarta Timur,1 kuota,,"Teknik Informatika, Ilmu Komputer, Teknik informatika, Teknologi Informatika Multimedia Digital","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/analis-sdm-aparatur-a24100e6-3b6b-4438-a697-09b396f9782f
11915,Pranata Komputer,Kantor Wilayah Kementerian Hukum Bengkulu,Kota Bengkulu,4 kuota,,"Teknik Informatika, Ilmu Komputer, sistem informasi, Ilmu Informatika, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pranata-komputer-a24160c3-1617-418a-98d5-4b4c64d68ffe
11955,Pranata Komputer,Kantor Wilayah Kementerian Hukum Bangka Belitung,Kota Pangkal Pinang,14 kuota,,"Teknik Informatika, Ilmu Komputer, Komputer Grafis, Sistem Informasi, Bisnis Digital","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pranata-komputer-a23f9f12-12a1-4ec9-bd0f-bfca40e24c1b
11991,Asdep Restrukturisasi - Pengadministrasi,Deputi Bidang Kelembagaan dan Digitalisasi Koperasi,Kota Adm. Jakarta Selatan,2 kuota,,"Ilmu Komputer, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asdep-restrukturisasi---pengadministrasi-a23ddf48-b9ec-404f-a583-b1a63c6cf222
11997,Asdep TKMR - Tata Kelola dan Manajemen Resiko,Deputi Bidang Kelembagaan dan Digitalisasi Koperasi,Kota Adm. Jakarta Selatan,1 kuota,,"Informatika, Ilmu Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asdep-tkmr---tata-kelola-dan-manajemen-resiko-a23dd760-6660-46c8-8dca-c7a73f4bfcab
